"uid","title","year","format","barcode","imdb_id","runtime","director","watched","poster_url","box_set","genre_ids","hidden","title_da","actors"
"21","Dogma","1999","DVD","5706102344664","tt0120655","124","Kevin Smith","true","https://image.tmdb.org/t/p/w300/oxhHl2YokTqcP44QK5tiTgjgLgk.jpg","","Fantasy|Comedy|Adventure","","Dogma","Ben Affleck|Matt Damon|Linda Fiorentino|Salma Hayek Pinault|Jason Lee"
"22","Metropolis","2001","DVD","5051159120212","tt0293416","104","Rintaro","true","https://image.tmdb.org/t/p/w300/41WtqvaObaYE3RuqgBfQFPV3aV1.jpg","","Animation|Sci-Fi","","Metropolis","井元由香|岡田浩暉|富田耕生|Kei Kobayashi|愛河里花子"
"23","Pirates of the Caribbean: Den sorte forbandelse","2003","DVD","7393834381104","tt0325980","137","Gore Verbinski","true","https://image.tmdb.org/t/p/w300/kvDwL2gTf6yxujbsWbsGQB3Z9Wa.jpg","","Adventure|Fantasy|Action","","Pirates of the Caribbean - Den sorte forbandelse","Johnny Depp|Geoffrey Rush|Orlando Bloom|Keira Knightley|Jack Davenport"
"24","Sex & Lucía","2001","DVD","5706550033493","tt0254455","120","Julio Medem","true","https://image.tmdb.org/t/p/w300/gvErAg9bv7xOO3B40gottv6Bqip.jpg","","Drama|Romance","","Sex and Lucia","Paz Vega|Tristán Ulloa|Elena Anaya|Najwa Nimri|Daniel Freire"
"25","Sprængfarlig bombe","2006","DVD","5708758666985","tt0484368","88","Tomas Villum Jensen","true","https://image.tmdb.org/t/p/w300/bxYzzyZlMFy6taJ7zdycjQ9S96L.jpg","","Comedy","","Sprængfarlig bombe","Ulrich Thomsen|Nikolaj Lie Kaas|Mille Dinesen|Line Kruse|Kristian Halken"
"26","Enemy of the State","1998","DVD","8717418102166","tt0120660","134","Tony Scott","true","https://image.tmdb.org/t/p/w300/x9pXrMKLsBGGOFyyZ0Gwt9YpVub.jpg","","Action|Drama|Thriller","","Enemy of the State","Will Smith|Gene Hackman|Jon Voight|Regina King|Loren Dean"
"27","Halloween","1978","DVD","5709624004856","tt0077651","87","John Carpenter","true","https://image.tmdb.org/t/p/w300/wijlZ3HaYMvlDTPqJoTCWKFkCPU.jpg","","Horror|Thriller","","Maskernes nat","Donald Pleasence|Jamie Lee Curtis|Nancy Kyes|P. J. Soles|Charles Cyphers"
"28","Lucky Luke - Pigtråd over prærien / Jesse James","1983","DVD","5709624009691","tt0000000","50","René Goscinny","true","","","","","",""
"29","Animal Kingdom","2010","DVD","5706141784209","tt1313092","112","David Michôd","true","https://image.tmdb.org/t/p/w300/zhj8YPQKuRev5N3KoHacsPnF4mB.jpg","","Crime|Drama","","Animal Kingdom","Ben Mendelsohn|Joel Edgerton|Guy Pearce|Luke Ford|Jacki Weaver"
"30","Ali","2001","DVD","5708758654586","tt0248667","150","Michael Mann","false","https://image.tmdb.org/t/p/w300/32l3FaCzs8cXWps6hkgNJAcOsP.jpg","","Drama","","Ali","Will Smith|Jamie Foxx|Jon Voight|Mario Van Peebles|Ron Silver"
"31","Cool Runnings","1993","DVD","9398522325031","tt0106611","94","Jon Turteltaub","true","https://image.tmdb.org/t/p/w300/6fXuGEb7EqGmAeUodxm7l5ELPZ.jpg","","Comedy|Adventure|Drama","","Af banen","Leon|Doug E. Doug|Rawle D. Lewis|Malik Yoba|John Candy"
"32","The Lord of the Rings: The Motion Picture Trilogy","2003","4K Ultra HD","7333018017948","tt0000000","201","","true","","","","true","",""
"33","De fortabte børns by","1995","DVD","5050582418729","tt0112682","68","Marc Caro","true","https://image.tmdb.org/t/p/w300/whwT3Q9JxbAYzEc3t7uYYcCbTMf.jpg","","Fantasy|Sci-Fi|Adventure","","De fortabte børns by","Ron Perlman|Dominique Pinon|Judith Vittet|Daniel Emilfork|Jean-Claude Dreyfus"
"34","Eastern Promises","2007","DVD","5706885216707","tt0765443","100","David Cronenberg","true","https://image.tmdb.org/t/p/w300/dpiJWb4NrWgcOg2rusuLhDM0hTm.jpg","","Thriller|Crime|Mystery","","Eastern Promises","Viggo Mortensen|Naomi Watts|Vincent Cassel|Armin Mueller-Stahl|Sinéad Cusack"
"35","Jurassic Park Ultimate Trilogy","1900","Blu-ray","5050582914238","tt0000000","352","","true","","","","true","",""
"36","Alien Quadrilogy Box Set","1900","DVD","5707020252314","tt0000000","95","","true","","","","true","",""
"37","Panic Room","2002","DVD","5050582240498","tt0258000","107","David Fincher","true","https://image.tmdb.org/t/p/w300/hANYbvfwxmkC9E4yY6YyJxYxlSJ.jpg","","Crime|Drama|Thriller","","Panic Room","Jodie Foster|Kristen Stewart|Forest Whitaker|Dwight Yoakam|Jared Leto"
"38","The Ninth Gate","1999","DVD","5706141745644","tt0142688","136","Roman Polanski","true","https://image.tmdb.org/t/p/w300/rxw9l9YNL14ODdmAavUwHLBjiDo.jpg","","Mystery|Thriller|Horror","","The Ninth Gate","Johnny Depp|Frank Langella|Lena Olin|Emmanuelle Seigner|Barbara Jefford"
"39","The Wrestler","2008","DVD","5705535038508","tt1125849","109","Darren Aronofsky","false","https://image.tmdb.org/t/p/w300/6OTR8dSoNGjWohJNo3UhIGd3Tj.jpg","","Drama|Romance","","The Wrestler","Mickey Rourke|Marisa Tomei|Evan Rachel Wood|Mark Margolis|Todd Barry"
"40","Chihiro og heksene","2001","Blu-ray","5705535056328","tt0245429","125","Hayao Miyazaki","true","https://image.tmdb.org/t/p/w300/39wmItIWsg5sZMyRUHLkWBcuVCM.jpg","","Animation|Family|Fantasy","","Chihiro og heksene","柊瑠美|入野自由|Mari Natsuki|内藤剛志|沢口靖子"
"41","Kannibal massakren","1980","DVD","5709498010014","tt0078935","92","Ruggero Deodato","true","https://image.tmdb.org/t/p/w300/otxZzMh53TsN7yYFqSZ3rwH1yMd.jpg","","Horror","","Kannibal Massakren","Robert Kerman|Francesca Ciardi|Perry Pirkanen|Luca Barbareschi|Salvatore Basile"
