224,"Disc Title","Den Store Flugt",5707020161791,"DVD",1963,tt0057115,165,"John Sturges","Steve McQueen,James Garner,Richard Attenborough,James Donald,Charles Bronson,Donald Pleasence,James Coburn,Hannes Messemer,David McCallum,Gordon Jackson,John Sturges,Paul Brickhill,James Clavell,W.R. Burnett",
158,"Disc Title","The Break-Up",5050582445398,"DVD",2006,tt0452594,102,"Peyton Reed","Vince Vaughn,Jennifer Aniston,Joey Lauren Adams,Cole Hauser,Jason Bateman,Judy Davis,Justin Long,Luke Schneider,Donier Tyler,Ron Valdez,Peyton Reed,Vince Vaughn,Jeremy Garelick,Jay Lavender,Vince Vaughn,Jeremy Garelick,Jay Lavender,Stuart Besser,Peter Billingsley,Eric Edwards,David Rosenbloom",
128,"Disc Title","Mary and Max",5709624021723,"DVD",2009,tt0978762,88,"Adam Elliot","Toni Collette,Philip Seymour Hoffman,Eric Bana,Barry Humphries,Bethany Whitmore,Renée Geyer,Ian 'Molly' Meldrum,John Flaus,Julie Forsyth,Michael Ienna,Adam Elliot,Adam Elliot,Melanie Coombs,Mark Gooder,Paul Hardart,Tom Hardart,Bryce Menzies,Jonathan Page,Tom Wild,Iain Canning,Andrew Mackie,Richard Payten,Henry Karjalainen,Pauline Piechota,Gerald Thompson,Bill Murphy,Dale Cornelius",
99,"Disc Title","Kannibalernes dronning",5709498010076,"DVD",1978,tt0077945,99,"Sergio Martino","Ursula Andress,Stacy Keach,Claudio Cassinelli,Antonio Marsina,Franco Fantasia,Lanfranco Spinola,Carlo Longhi,Luigina Rocchi,Akushula Selayah,Franco Coduti,Sergio Martino,Cesare Frugoni,Sergio Martino",
18,"Disc Title","The Wax Mask",5709624007567,"DVD",1997,tt0119588,95,"Sergio Stivaletti","Robert Hossein,Romina Mondello,Riccardo Serventi Longhi,Gabriella Giorgelli,Umberto Balli,Valery Valmond,Gianni Franco,Antonello Murru,Daniele Auber,Romano Iannelli,Sergio Stivaletti",
161,"Disc Title","Dogma",5706102344664,"DVD",1999,tt0120655,124,"Kevin Smith","Walter Flanagan,Nancy Bach,Scott Mosier,Monica Hampton,Richard Baderinwa,Dwight Ewell,Benjamin J. Cain Jr.,Javon Johnson,Armando Rodriguez,Derrick Sanders,Kevin Smith,Kevin Smith",
140,"Disc Title","Metropolis",5051159120212,"DVD",2001,tt0293416,104,"Rintaro","Yuka Imoto,Kei Kobayashi,Kouki Okada,Tarô Ishida,Jamieson Price,Kousei Tomita,Junpei Takiguchi,Toshio Furukawa,Robert Axelrod,Steve Blum,Rintaro",
234,"Disc Title","Pirates of the Caribbean: Den sorte forbandelse",7393834381104,"DVD",2003,tt0325980,137,"Gore Verbinski","Johnny Depp,Geoffrey Rush,Orlando Bloom,Keira Knightley,Jack Davenport,Jonathan Pryce,Lee Arenberg,Mackenzie Crook,Damian O'Hare,Giles New,Gore Verbinski,Ted Elliott,Terry Rossio",
182,"Disc Title","Sex & Lucía",5706550033493,"DVD",2001,tt0254455,120,"Julio Medem","Paz Vega,Tristán Ulloa,Najwa Nimri,Daniel Freire,Elena Anaya,Silvia Llanos,Diana Suárez,Javier Cámara,Juan Fernández,Charo Zapardiel,Julio Medem,Julio Medem",
147,"Disc Title","Sprængfarlig bombe",5708758666985,"DVD",2006,tt0484368,88,"Tomas Villum Jensen","Ulrich Thomsen,Nikolaj Lie Kaas,Mille Dinesen,Line Kruse,Kristian Halken,Nicolaj Kopernikus,Jakob Cedergren,Lars Brygmann,Niels Olsen,Peter Mygind,Tomas Villum Jensen,Anders Thomas Jensen",
233,"Disc Title","Enemy of the State",8717418102166,"DVD",1998,tt0120660,134,"Tony Scott","Jon Voight,Scott Caan,Gene Hackman,Grant Heslov,Jamie Kennedy,Seth Green,Philip Baker Hall,Jason Lee,Ivana Milicevic,Gabriel Byrne,Tony Scott",
81,"Disc Title","Halloween",5709624004856,"DVD",1978,tt0077651,87,"John Carpenter","Donald Pleasence,Jamie Lee Curtis,Nancy Kyes,P.J. Soles,Charles Cyphers,Kyle Richards,Brian Andrews,John Michael Graham,Nancy Stephens,Arthur Malet,John Carpenter,John Carpenter,Debra Hill",
35,"Disc Title","Lucky Luke - Pigtråd over prærien / Jesse James",5709624009691,"DVD",1983,tt0000000,50,"René Goscinny","René Goscinny",
226,"Disc Title","Animal Kingdom",5706141784209,"DVD",2010,tt1313092,112,"David Michôd","James Frecheville,Bryce Lindemann,Paul Smits,Jacki Weaver,Joel Edgerton,Luke Ford,Sullivan Stapleton,Mirrah Foulkes,Anthony Ahern,Justin Rosniak,David Michôd,David Michôd,Liz Watts,Vincent Sheehan,Bec Smith,Libby Sharpe,Adam Arkapaw,Luke Doolan,Anthony Partos",
